dataset_id,profile,seed,target_fraction,solver,status,counterfactual_verified,protected_workflows_preserved,achieved_exposure_reduction,modeled_cost,changes,departments_affected,runtime_seconds,infeasible_or_timeout
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.9,constraint_generation,FEASIBLE,true,true,0.7826335739197209,387.29987,160,12,123.77307383599998,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.95,degree_greedy,FEASIBLE,true,true,0.7164694035206081,1270.755531,785,12,369.9005697250001,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.95,risk_greedy,FEASIBLE,true,true,0.8359686466619135,6.4622340000000005,10,6,0.4273722899999939,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.95,min_cut,FEASIBLE,true,true,0.9771731151122243,31.204581,34,12,3.3130814740000005,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.95,constraint_generation,FEASIBLE,true,true,0.787970410414203,201.835606,106,11,123.20669434399997,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.5,degree_greedy,FEASIBLE,true,true,0.2535578634890068,1.399236,5,4,1.9588944599999962,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.5,risk_greedy,FEASIBLE,true,true,0.27067377968314443,0.755998,2,2,0.2784217560000144,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.5,min_cut,FEASIBLE,true,true,0.9759885204872895,15.05809,24,10,4.078105317000023,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.5,constraint_generation,FEASIBLE,true,true,0.3651751619733691,171.56875,67,11,124.270559706,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.7,degree_greedy,FEASIBLE,true,true,0.4313526075525552,10.280539000000001,23,8,8.56262927299997,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.7,risk_greedy,FEASIBLE,true,true,0.5238197770206652,2.255998,4,3,0.3125200470000209,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.7,min_cut,FEASIBLE,true,true,0.9759885204872895,15.05809,24,10,3.7151863760000197,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.7,constraint_generation,FEASIBLE,true,true,0.6702633750458944,377.516203,139,12,122.70086907199999,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.8,degree_greedy,FEASIBLE,true,true,0.532498416948234,72.256562,79,11,28.372983561000012,false
seib-2026:regulated_finance:small:4264387:injected_mixed,regulated_finance,4264387,0.8,risk_greedy,FEASIBLE,true,true,0.5951281182924811,2.82332,5,3,0.8163687819999836,false
